JCR Year and Edition: 2012 Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM COMPUT SURV;0360-0300;2907;3.543;7.854;0.421;38;9.6;0.00638;4.102;
ACM J EMERG TECH COM;1550-4832;103;0.759;0.949;0.065;31;5.1;0.00049;0.353;
ACM SIGPLAN NOTICES;0362-1340;2724;0.705;0.785;0.041;369;7.3;0.00677;0.276;
ACM T ALGORITHMS;1549-6325;332;0.540;;0.070;57;5.0;0.00462;;
ACM T APPL PERCEPT;1544-3558;266;1.000;1.269;0.200;20;5.3;0.00137;0.660;
ACM T ARCHIT CODE OP;1544-3566;136;0.684;0.615;0.117;60;6.1;0.00040;0.237;
ACM T AUTON ADAP SYS;1556-4665;161;1.000;1.302;0.108;37;3.8;0.00093;0.557;
ACM T COMPUT LOG;1529-3785;273;0.792;0.852;0.059;34;6.5;0.00179;0.759;
ACM T COMPUT SYST;0734-2071;744;0.800;2.082;0.143;14;>10.0;0.00090;1.051;
ACM T COMPUT-HUM INT;1073-0516;537;1.179;1.368;0.094;32;8.5;0.00104;0.627;
ACM T DATABASE SYST;0362-5915;946;0.887;1.469;0.067;30;>10.0;0.00254;1.117;
ACM T DES AUTOMAT EL;1084-4309;393;0.522;0.819;0.077;65;5.8;0.00172;0.406;
ACM T EMBED COMPUT S;1539-9087;514;1.178;1.582;0.049;81;5.6;0.00262;0.795;
ACM T GRAPHIC;0730-0301;7674;3.361;4.283;0.340;203;6.2;0.02901;1.972;
ACM T INFORM SYST;1046-8188;1092;1.070;1.716;0.120;25;8.9;0.00164;0.863;
ACM T INFORM SYST SE;1094-9224;485;0.690;1.341;0.222;9;7.9;0.00146;0.663;
ACM T INTERNET TECHN;1533-5399;278;0.792;1.291;0.071;14;7.1;0.00083;0.602;
ACM T KNOWL DISCOV D;1556-4681;239;1.676;;0.167;24;3.9;0.00222;;
ACM T MATH SOFTWARE;0098-3500;2518;1.934;2.590;0.238;21;>10.0;0.00492;1.748;
ACM T MODEL COMPUT S;1049-3301;497;0.528;0.887;0.059;17;>10.0;0.00103;0.554;
ACM T MULTIM COMPUT;1551-6857;317;0.935;1.586;0.146;48;5.0;0.00192;0.857;
ACM T PROGR LANG SYS;0164-0925;1055;1.026;1.075;0.000;16;>10.0;0.00189;0.806;
ACM T RECONFIG TECHN;1936-7406;86;0.516;;0.048;21;;0.00065;;
ACM T SENSOR NETWORK;1550-4859;638;1.444;2.485;0.111;27;4.8;0.00316;1.098;
ACM T SOFTW ENG METH;1049-331X;567;1.548;2.063;0.333;18;9.4;0.00121;0.877;
ACM T STORAGE;1553-3077;168;1.115;;0.062;16;4.5;0.00085;;
ACM T WEB;1559-1131;205;1.405;2.446;0.000;17;4.4;0.00192;1.325;
ACTA INFORM;0001-5903;484;0.474;0.491;0.087;23;>10.0;0.00072;0.357;
AD HOC NETW;1570-8705;1312;1.456;1.957;0.239;109;4.6;0.00499;0.691;
AD HOC SENS WIREL NE;1551-9899;123;0.410;0.387;0.000;45;5.9;0.00039;0.141;
ADAPT BEHAV;1059-7123;490;1.113;1.545;0.414;29;7.5;0.00100;0.475;
ADV COMPUT;0065-2458;152;0.389;0.452;0.043;23;9.6;0.00029;0.195;
ADV ELECTR COMPUT EN;1582-7445;142;0.552;0.479;0.067;60;2.4;0.00035;0.072;
ADV ENG INFORM;1474-0346;730;1.593;1.708;0.362;69;5.3;0.00178;0.451;
ADV ENG SOFTW;0965-9978;1525;1.220;1.391;0.200;145;5.3;0.00484;0.477;
ADV MATH COMMUN;1930-5346;105;0.600;0.560;0.219;32;2.8;0.00163;0.535;
AI COMMUN;0921-7126;249;0.449;0.617;0.333;30;9.3;0.00080;0.399;
AI EDAM;0890-0604;348;0.407;0.935;0.000;23;8.6;0.00107;0.494;
AI MAG;0738-4602;691;0.726;0.959;0.057;35;>10.0;0.00178;0.687;
ALGORITHMICA;0178-4617;1408;0.488;0.753;0.148;128;>10.0;0.00619;0.742;
ANALOG INTEGR CIRC S;0925-1030;814;0.553;0.567;0.038;261;6.6;0.00159;0.146;
ANN MATH ARTIF INTEL;1012-2443;409;0.200;0.391;0.059;34;>10.0;0.00126;0.357;
ANNU REV INFORM SCI;0066-4200;380;2.174;2.590;;;8.0;0.00114;1.067;
APPL ALGEBR ENG COMM;0938-1279;229;0.756;0.484;0.062;16;>10.0;0.00103;0.469;
APPL ARTIF INTELL;0883-9514;422;0.475;0.505;0.174;46;9.6;0.00059;0.164;
APPL INTELL;0924-669X;927;1.853;1.936;0.186;102;5.9;0.00124;0.304;
APPL ONTOL;1570-5838;93;1.080;;0.062;16;;0.00032;;
APPL SOFT COMPUT;1568-4946;3117;2.140;2.526;0.323;341;3.1;0.01165;0.622;
ARCH COMPUT METHOD E;1134-3060;479;2.931;3.576;1.636;11;5.6;0.00279;2.420;
ARTIF INTELL;0004-3702;5407;2.194;2.566;0.435;46;>10.0;0.00827;1.308;
ARTIF INTELL MED;0933-3657;1281;1.355;1.767;0.255;51;7.3;0.00267;0.566;
ARTIF INTELL REV;0269-2821;605;1.565;1.191;0.100;40;9.0;0.00100;0.419;
ARTIF LIFE;1064-5462;715;1.585;1.545;0.300;20;9.8;0.00081;0.417;
ASLIB PROC;0001-253X;248;0.432;0.696;0.081;37;5.5;0.00100;0.311;
AUTOMAT SOFTW ENG;0928-8910;151;1.400;1.116;0.143;14;5.7;0.00076;0.630;
AUTON AGENT MULTI-AG;1387-2532;500;0.790;1.410;0.242;33;6.7;0.00178;0.706;
AUTON ROBOT;0929-5593;1240;1.908;1.890;0.231;52;8.3;0.00323;0.783;
BEHAV INFORM TECHNOL;0144-929X;802;0.856;1.000;0.188;80;8.3;0.00110;0.261;
